"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Idh1"	0	1.15433035495634	0.718	0.204	0
"Ptma"	0	-2.0140616067133	0.962	0.988	0
"Alpi"	0	1.37252831122683	0.605	0.036	0
"Tmem37"	0	1.18151426524769	0.702	0.148	0
"Dbi"	0	1.33675337329944	0.999	0.964	0
"Mgst3"	0	1.63141112954957	0.994	0.833	0
"Nr1i3"	0	0.56245713243528	0.358	0.037	0
"Marc2"	0	1.9634474268505	0.996	0.754	0
"Bpnt1"	0	1.30612488119517	0.809	0.247	0
"Agpat2"	0	1.43091217051477	0.885	0.295	0
"Slc27a4"	0	0.563382786672528	0.348	0.042	0
"Phgr1"	0	1.16435757795536	1	0.923	0
"Ckmt1"	0	2.06687711774435	0.985	0.632	0
"Mall"	0	0.854791371883623	0.553	0.092	0
"Slc2a2"	0	0.610116523046206	0.251	0.004	0
"Aadac"	0	1.41909234516932	0.857	0.271	0
"Mme"	0	0.874823685997474	0.466	0.049	0
"Sis"	0	2.50320763219229	0.945	0.15	0
"Fmo5"	0	1.03260214725975	0.59	0.089	0
"Bcl2l15"	0	0.95896241478118	0.53	0.107	0
"Gstm6"	0	0.764308010602004	0.476	0.081	0
"Gstm3"	0	2.71156958894249	0.929	0.168	0
"Fabp2"	0	2.90397265557584	1	0.85	0
"Enpep"	0	1.06241789762668	0.574	0.055	0
"Casp6"	0	1.62102981300053	0.93	0.347	0
"Mttp"	0	1.54434154173955	0.831	0.156	0
"Adh1"	0	1.47716794589684	0.875	0.199	0
"Adh6a"	0	2.53939578526561	0.735	0.121	0
"Adh4"	0	0.58678364491209	0.312	0.015	0
"Aldob"	0	2.05218602646606	0.996	0.616	0
"Hdhd3"	0	1.19458214358781	0.788	0.265	0
"Cdkn2b"	0	1.16960268155877	0.729	0.143	0
"Scp2"	0	1.4315794447118	0.985	0.732	0
"Prdx1"	0	1.15429107457118	1	0.958	0
"Cda"	0	1.99047319008297	0.996	0.576	0
"Prxl2b"	0	1.39958985598068	0.933	0.404	0
"Khk"	0	1.98629215764687	0.974	0.324	0
"Slc5a1"	0	1.09776554035206	0.584	0.124	0
"Ugdh"	0	0.79617617898566	0.504	0.092	0
"Ugt2b5"	0	1.16317894483461	0.537	0.034	0
"Ugt2a3"	0	0.726035466174411	0.448	0.05	0
"Sult1b1"	0	1.7922733642071	0.943	0.258	0
"Plac8"	0	2.24681561558989	1	0.922	0
"Tmem120a"	0	1.38932176082596	0.828	0.209	0
"Mdh2"	0	1.75163887752195	0.998	0.903	0
"Cyp3a13"	0	1.15789584124153	0.565	0.047	0
"Slc13a1"	0	1.14554427844342	0.515	0.036	0
"Akr1b7"	0	0.797140263248268	0.373	0.018	0
"Fabp1"	0	4.59457180039762	1	0.378	0
"Reg3a"	0	2.18630425274953	0.65	0.054	0
"Reg1"	0	4.8376755551812	0.798	0.131	0
"Nat8"	0	0.966662443493163	0.502	0.036	0
"Gapdh"	0	1.42149544764256	0.999	0.911	0
"Clec2h"	0	1.39314463018191	0.767	0.149	0
"Sult6b2"	0	1.22173510243559	0.347	0.008	0
"Tmem86b"	0	0.680921385312191	0.367	0.033	0
"Erich4"	0	1.29460616430411	0.709	0.081	0
"2200002D01Rik"	0	2.0434654962356	0.995	0.572	0
"Cox7a1"	0	2.12340859931288	0.936	0.187	0
"Slc7a9"	0	1.12629111565642	0.668	0.097	0
"0610005C13Rik"	0	0.853177168351306	0.603	0.132	0
"Sult2b1"	0	1.44065943970678	0.805	0.171	0
"Ldha"	0	1.27190944610337	0.998	0.848	0
"Anpep"	0	1.89030780069739	0.805	0.093	0
"Mogat2"	0	1.62454930605773	0.83	0.116	0
"Chp2"	0	1.35620022851359	0.76	0.125	0
"Prap1"	0	2.25047673001888	1	0.779	0
"Ccl25"	0	1.9362700345112	0.996	0.692	0
"Tm6sf2"	0	1.50924274719506	0.83	0.166	0
"Ces1f"	0	1.44117427421972	0.734	0.064	0
"Ces2a"	0	1.49165432546075	0.742	0.133	0
"Ces2c"	0	1.74551177395175	0.759	0.1	0
"Ces2e"	0	2.10401911031004	0.949	0.22	0
"Maf"	0	0.561365584373981	0.32	0.032	0
"Dpep1"	0	1.00647253274468	0.468	0.026	0
"St3gal4"	0	2.05716030318126	0.943	0.212	0
"Apoa1"	0	4.36981305801161	0.879	0.113	0
"Apoc3"	0	2.48874403425744	0.813	0.093	0
"Apoa4"	0	2.11024438848063	0.625	0.039	0
"Il18"	0	2.10238811564792	0.866	0.077	0
"Cox5a"	0	0.970571688747504	0.999	0.962	0
"Slc51b"	0	0.882475263873693	0.484	0.049	0
"Gsta4"	0	1.93962873617001	0.859	0.166	0
"Gsta1"	0	3.32595548167129	0.939	0.084	0
"Gm3776"	0	2.15101741810938	0.646	0.024	0
"Rbp2"	0	4.73312187236474	1	0.36	0
"Gpx1"	0	1.40562930270571	0.985	0.876	0
"Slc26a6"	0	1.22413373054912	0.648	0.055	0
"Slc6a20a"	0	0.779164630363449	0.42	0.034	0
"Smlr1"	0	1.15348820383108	0.667	0.104	0
"Pla2g12b"	0	0.907871703011896	0.584	0.099	0
"Hkdc1"	0	0.643630563999062	0.386	0.041	0
"Ggt1"	0	0.768379345387114	0.279	0.005	0
"Creb3l3"	0	1.33754821474554	0.646	0.027	0
"Smim24"	0	2.12149816554229	0.999	0.73	0
"Gna11"	0	1.6266622167716	0.977	0.509	0
"Rdh7"	0	1.52354111137992	0.747	0.09	0
"Hsd17b6"	0	0.618427328569499	0.29	0.013	0
"Upp1"	0	1.0861947167614	0.672	0.111	0
"Mdh1"	0	1.19624666376261	0.999	0.866	0
"Lypd8"	0	1.34744245046418	0.993	0.914	0
"Tm4sf5"	0	1.9310406700832	0.996	0.703	0
"Dhrs11"	0	0.953351982202935	0.68	0.18	0
"Car4"	0	1.81500189979543	0.795	0.159	0
"Gm21885"	0	0.648625986974885	0.389	0.025	0
"Krt20"	0	1.29017771343937	0.744	0.163	0
"Acbd4"	0	1.05768475531374	0.674	0.14	0
"Prpsap1"	0	1.28594920991504	0.907	0.406	0
"Slc26a3"	0	0.615509421446973	0.395	0.05	0
"Arg2"	0	2.73085059012242	0.994	0.293	0
"Exoc3l4"	0	0.997497464168831	0.566	0.081	0
"Ckb"	0	1.97765991951154	0.98	0.539	0
"Tubal3"	0	0.541953653754397	0.322	0.039	0
"Akr1c13"	0	1.34838180566205	0.902	0.395	0
"Akr1c19"	0	1.9914749252293	0.913	0.226	0
"Eci3"	0	0.513338623273586	0.288	0.015	0
"Lgals3"	0	1.26165096868504	0.772	0.192	0
"Slc7a7"	0	0.822282983284745	0.533	0.108	0
"Dhrs1"	0	1.25489567781166	0.744	0.224	0
"Cideb"	0	1.09556671712606	0.684	0.126	0
"Cmbl"	0	1.21142617340308	0.804	0.229	0
"Dgat1"	0	1.78774143806168	0.952	0.348	0
"Apol10a"	0	0.618823730451301	0.4	0.051	0
"Cyp2d26"	0	0.806867682725714	0.441	0.03	0
"Cyb5r3"	0	1.67971714865333	0.95	0.368	0
"Gpd1"	0	1.01639860737629	0.694	0.161	0
"Slc51a"	0	1.54042144784563	0.812	0.116	0
"Atp5o"	0	0.954744386121663	0.999	0.946	0
"Cbr1"	0	1.64999639333177	0.946	0.451	0
"Ndufb10"	0	1.10924196046904	0.998	0.866	0
"Hagh"	0	1.21368569796229	0.848	0.321	0
"Fahd1"	0	1.51001685648406	0.922	0.377	0
"Cyp4f14"	0	1.8369774909867	0.876	0.155	0
"H2-Q2"	0	1.0921374828628	0.658	0.149	0
"Clic5"	0	0.517984742190597	0.32	0.03	0
"Mep1b"	0	1.43177550309799	0.655	0.045	0
"Spink1"	0	2.19602817556943	0.782	0.135	0
"Cyb5a"	0	1.6027211159072	0.995	0.786	0
"Cst6"	0	1.29538872245034	0.75	0.138	0
"Slc25a45"	0	0.987983059460399	0.558	0.045	0
"Fth1"	0	1.97703697139204	1	0.996	0
"Tkfc"	0	1.06958334691957	0.74	0.211	0
"Ms4a10"	0	1.75690484847816	0.878	0.277	0
"Ms4a18"	0	0.924562834282812	0.516	0.05	0
"Aldh1a1"	0	1.41832895616575	0.655	0.038	0
"Papss2"	0	1.56130790281718	0.59	0.029	0
"Cyp2c65"	0	0.675911217102062	0.415	0.062	0
"Acsl5"	0	1.48906383651884	0.785	0.253	0
"Glod5"	0	1.72617532305964	0.979	0.483	0
"Maoa"	0	1.56859963086714	0.881	0.276	0
"Maob"	0	0.453611703958475	0.278	0.025	0
"Mpp1"	0	1.15269599495438	0.643	0.081	0
"2010106E10Rik"	0	0.599915937830426	0.329	0.015	0
"S100g"	0	2.42255648025963	0.572	0.113	0
"Ace2"	0	0.895222142239245	0.423	0.022	0
"Crip1"	3.21154020276066e-303	1.32729234792037	1	0.925	5.4894856685788e-299
"Mgst1"	1.63367435990497e-302	1.33003584135566	0.982	0.692	2.79243958338556e-298
"Chchd10"	2.49111347340356e-302	1.04006154526335	0.998	0.872	4.2580602600887e-298
"Cyp2c68"	1.00732661890413e-300	0.668549131174812	0.449	0.078	1.72182338969283e-296
"Anxa13"	3.36401375959963e-298	1.19290639942656	0.857	0.318	5.75010871928364e-294
"Krt19"	5.3176309957013e-297	1.19488400698092	0.993	0.92	9.08942666095224e-293
"Slc9a3r1"	2.76960136149546e-291	1.2857245948043	0.845	0.339	4.73407960720418e-287
"Aprt"	5.74707936300975e-290	1.15995152081199	0.99	0.769	9.82348275519256e-286
"Apob"	2.15113168949713e-289	0.864223201567516	0.484	0.096	3.67692939685744e-285
"Uqcrfs1"	4.43848372724295e-287	1.04753074891361	0.992	0.826	7.58670023497638e-283
"Cox4i1"	1.56108313296244e-282	0.639251311154257	1	0.99	2.66835939917271e-278
"Rhoc"	1.05751640071073e-281	0.792828878891221	0.478	0.092	1.80761278373485e-277
"Lgals4"	1.94094035323301e-278	0.860494192803744	1	0.989	3.31764934578118e-274
"Hsd17b13"	5.50930743242097e-278	0.675439028785954	0.422	0.075	9.41705919423716e-274
"Dgat2"	1.08875405333799e-277	0.458088702015981	0.288	0.034	1.86100730337063e-273
"Ppa1"	2.38840153577934e-276	1.15174023156817	0.986	0.794	4.08249474510762e-272
"Bche"	6.30576666887651e-275	0.659042990681642	0.433	0.079	1.07784469671106e-270
"Calm1"	6.77687433359693e-275	0.757103191420343	1	0.984	1.15837112984172e-270
"Cndp2"	8.80556568007635e-275	0.964155158698951	0.6	0.156	1.50513534169545e-270
"Cox5b"	3.64578487999972e-274	0.77888040644173	0.996	0.964	6.23174009538352e-270
"Btnl1"	5.38195653526295e-273	0.514442409447274	0.342	0.05	9.19937830572496e-269
"Slc25a5"	1.43602318744943e-271	0.871644781675037	0.999	0.938	2.45459443430732e-267
